;Concurrent sum;
262144;

;1 Tasks;;;;;;;;16 Tasks;;;;;;;;256 Tasks;;;;;;;;
;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;Threads with barriers;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;Threads with barriers;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;Threads with barriers;;;;;
;;405;503;571;603;703;;;;517;328;374;503;651;;;;3008;306;595;683;1308;;;;;
;;416;406;580;633;817;;;;547;348;428;459;619;;;;3148;327;527;609;1380;;;;;
;;436;454;604;586;653;;;;485;278;383;510;633;;;;3096;460;504;617;1341;;;;;
;;453;458;542;570;726;;;;533;297;448;487;604;;;;3231;288;465;612;1433;;;;;
;;496;451;560;588;757;;;;462;329;398;458;640;;;;2944;308;525;594;1374;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
;
;
1048576;

;1 Tasks;;;;;;;;16 Tasks;;;;;;;;256 Tasks;;;;;;;;
;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;Threads with barriers;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;Threads with barriers;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;Threads with barriers;;;;;
;;1657;1767;1879;2150;3388;;;;1372;1197;1400;1581;2870;;;;4658;1342;1440;1656;3724;;;;;
;;1651;1708;1995;2315;3578;;;;1385;1180;1396;1518;3123;;;;4550;1190;1339;1844;3794;;;;;
;;1754;1787;1970;2230;3587;;;;1448;1128;1314;1622;2922;;;;4626;1269;1414;1806;3697;;;;;
;;1684;1913;1988;2176;3594;;;;1382;1107;1280;1586;2998;;;;4924;1228;1468;1755;3920;;;;;
;;1738;2456;1773;2154;3604;;;;1378;1137;1417;1628;3048;;;;4832;1255;1564;1867;3685;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
;
;
