;Concurrent sum;
262144;

;1 Tasks;;;;;;;;16 Tasks;;;;;;;;256 Tasks;;;;;;;;
;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;Threads with barriers;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;Threads with barriers;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;Threads with barriers;;;;;
;;49;38;138;103;61;;;;129;49;103;165;83;;;;1188;59;199;47;483;;;;;
;;45;49;123;103;76;;;;126;50;124;77;107;;;;1076;57;121;67;418;;;;;
;;40;39;129;80;74;;;;180;48;133;83;85;;;;943;52;139;74;279;;;;;
;;59;48;150;73;51;;;;181;52;155;66;71;;;;1050;51;132;82;317;;;;;
;;41;39;117;69;74;;;;119;56;98;94;79;;;;1307;69;147;53;437;;;;;
;;55;48;144;81;47;;;;106;50;104;99;88;;;;1157;55;247;74;344;;;;;
;;39;43;131;63;68;;;;139;41;136;62;92;;;;1073;51;190;67;273;;;;;
;;50;60;137;137;46;;;;175;37;139;55;111;;;;1045;61;204;97;398;;;;;
;;45;50;121;67;66;;;;199;82;123;59;103;;;;1046;36;121;53;525;;;;;
;;42;43;98;79;49;;;;97;38;99;47;101;;;;1093;69;135;64;460;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
;
;
1048576;

;1 Tasks;;;;;;;;16 Tasks;;;;;;;;256 Tasks;;;;;;;;
;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;Threads with barriers;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;Threads with barriers;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;Threads with barriers;;;;;
;;153;161;227;188;200;;;;267;148;223;182;298;;;;1455;159;249;173;1093;;;;;
;;164;157;229;176;203;;;;241;141;228;156;468;;;;1347;168;297;160;1059;;;;;
;;153;151;232;171;200;;;;273;177;258;150;241;;;;1367;154;242;160;1065;;;;;
;;162;152;255;164;197;;;;260;173;233;153;441;;;;1953;139;267;181;769;;;;;
;;147;149;244;187;200;;;;237;135;215;147;588;;;;1363;190;249;171;1123;;;;;
;;146;153;240;195;196;;;;265;146;230;152;569;;;;1284;173;392;195;1081;;;;;
;;152;156;286;173;205;;;;316;145;279;163;734;;;;1258;177;297;186;1059;;;;;
;;156;155;233;188;201;;;;247;155;239;155;427;;;;1530;159;240;167;1177;;;;;
;;154;153;255;181;199;;;;252;154;243;167;385;;;;1452;167;305;157;945;;;;;
;;155;152;238;187;199;;;;276;140;243;180;357;;;;1390;146;307;185;1145;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
;
;
