;Image download;
Cat;

;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;AsyncTask;IntentServices;;
;;1075;689;1104;789;1088;666;;
;;1072;1269;950;883;1083;685;;
;;1176;875;1122;645;1479;642;;
;;1037;830;927;743;1095;681;;
;;948;789;1510;968;1047;908;;
;;1068;634;2363;789;948;791;;
;;1980;779;1508;656;1426;763;;
;;1153;797;1579;690;891;814;;
;;1105;1216;1219;498;1224;1123;;
;;1461;1205;1242;783;1131;1197;;
;;1291;1202;1237;1004;1247;1282;;
;;1595;1232;1064;812;1127;1072;;
;;1583;1099;1037;788;1114;926;;
;;1549;1104;988;785;1074;928;;
;;1531;955;954;1106;960;935;;
;;1524;939;915;1052;896;802;;
;;1359;1426;923;548;1612;1210;;
;;1362;1359;772;627;1645;1197;;
;;1251;1291;626;611;1547;1524;;
;;1215;1240;1268;518;1543;1343;;
;;1097;1039;794;539;1529;1263;;
;;934;1122;647;596;1464;1225;;
;;956;1854;782;633;1351;1207;;
;;930;1691;1351;509;1221;1251;;
;;1117;1581;1535;576;1429;770;;
;;1038;1574;1592;537;1266;779;;
;;932;1542;1394;545;1223;756;;
;;954;1514;1273;1261;1097;740;;
;;952;1366;1098;641;967;824;;
;;1059;1225;1152;651;920;627;;
;;1671;1093;1101;753;799;685;;
;;1438;1180;1128;683;772;646;;
;
;
;
Dog;

;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;AsyncTask;IntentServices;;
;;961;542;1047;611;646;662;;
;;1168;624;1025;620;697;658;;
;;1016;475;913;653;666;634;;
;;1377;487;947;613;588;624;;
;;990;684;920;697;592;2034;;
;;957;488;803;738;1257;798;;
;;918;661;612;627;628;755;;
;;762;646;770;611;599;849;;
;;923;651;480;758;659;616;;
;;943;476;476;763;611;587;;
;;808;470;488;764;662;561;;
;;850;507;569;790;611;609;;
;;781;624;618;779;611;618;;
;;644;592;491;770;571;606;;
;;657;602;469;808;506;616;;
;;635;472;473;1076;494;596;;
;;609;1231;740;487;826;910;;
;;579;1236;589;499;738;760;;
;;1112;1193;934;498;799;896;;
;;655;1105;1225;484;626;1050;;
;;610;1087;1058;498;607;1113;;
;;489;758;916;587;612;1091;;
;;628;878;1084;478;602;895;;
;;682;612;927;504;593;1101;;
;;1048;793;1194;635;1138;595;;
;;1017;712;1352;607;767;769;;
;;1054;776;905;599;744;956;;
;;1187;616;893;595;755;945;;
;;1002;773;1274;591;769;925;;
;;933;804;1057;585;1076;1000;;
;;965;624;1017;612;746;1003;;
;;771;755;1048;812;756;972;;
;
;
;
Lion;

;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;AsyncTask;IntentServices;;
;;596;474;439;516;434;453;;
;;466;425;632;454;455;448;;
;;434;555;549;487;437;446;;
;;480;322;467;505;432;432;;
;;561;628;485;994;426;408;;
;;667;467;498;497;438;412;;
;;579;435;462;488;500;659;;
;;488;473;847;442;430;472;;
;;472;472;491;677;439;425;;
;;454;447;318;593;430;292;;
;;464;468;433;623;421;303;;
;;444;1312;307;626;966;629;;
;;453;425;428;605;608;443;;
;;313;464;496;573;600;420;;
;;448;454;430;580;583;784;;
;;476;415;459;591;605;577;;
;;424;439;444;461;528;425;;
;;332;302;592;405;399;583;;
;;424;460;570;1036;414;591;;
;;439;440;741;458;447;597;;
;;709;438;564;464;428;441;;
;;468;448;572;472;524;592;;
;;455;591;574;421;445;620;;
;;446;589;645;465;436;640;;
;;473;456;433;495;450;590;;
;;458;766;445;442;450;435;;
;;454;1376;579;485;443;579;;
;;475;584;438;482;485;614;;
;;454;582;657;449;471;634;;
;;487;597;633;479;438;573;;
;;472;440;827;429;430;590;;
;;455;452;648;453;479;620;;
;
;
;
Platypus;

;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;AsyncTask;IntentServices;;
;;428;413;430;433;431;409;;
;;463;308;303;550;446;502;;
;;445;272;449;427;439;405;;
;;455;267;288;473;439;417;;
;;442;276;485;478;434;398;;
;;532;314;422;532;443;2131;;
;;460;308;423;496;456;425;;
;;719;303;504;493;412;422;;
;;280;425;432;439;432;291;;
;;420;420;281;446;407;648;;
;;428;280;277;439;412;295;;
;;432;270;288;435;407;470;;
;;470;404;279;444;404;269;;
;;434;419;282;447;401;280;;
;;448;287;427;431;392;274;;
;;434;418;438;524;764;277;;
;;470;274;278;429;474;413;;
;;461;435;482;429;422;456;;
;;421;433;271;422;452;453;;
;;280;452;416;409;417;446;;
;;442;405;435;285;437;422;;
;;416;449;429;431;412;458;;
;;273;428;438;419;406;440;;
;;521;413;397;397;430;415;;
;;519;411;463;320;429;415;;
;;487;422;449;295;418;446;;
;;435;277;275;287;459;403;;
;;420;424;296;299;423;254;;
;;419;270;271;335;462;433;;
;;428;426;276;295;428;286;;
;;429;428;473;288;446;431;;
;;409;421;255;285;415;438;;
;
;
;
Pigeon;

;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;AsyncTask;IntentServices;;
;;479;289;456;445;434;432;;
;;432;423;440;419;450;426;;
;;450;691;441;427;411;455;;
;;455;319;425;436;418;455;;
;;494;423;442;464;433;436;;
;;289;287;511;450;463;421;;
;;513;471;445;432;416;411;;
;;605;443;1295;434;429;416;;
;;442;1566;285;470;421;427;;
;;414;437;265;468;411;440;;
;;704;432;293;452;523;421;;
;;449;410;283;480;414;434;;
;;289;432;293;554;434;425;;
;;445;286;1346;444;456;479;;
;;697;441;293;426;649;603;;
;;313;475;1262;415;486;285;;
;;463;439;401;443;417;429;;
;;450;419;446;458;419;425;;
;;520;431;269;420;434;409;;
;;443;1671;283;732;408;416;;
;;850;290;1010;435;409;283;;
;;472;433;430;443;409;445;;
;;434;462;417;402;637;435;;
;;431;413;439;418;433;453;;
;;420;444;447;309;436;287;;
;;446;278;426;317;483;444;;
;;423;429;287;512;427;453;;
;;431;434;3228;345;410;424;;
;;440;449;433;303;425;438;;
;;418;444;470;300;428;423;;
;;416;456;457;329;419;414;;
;;919;437;289;1211;410;406;;
;
;
;
