;Image download;
Cat;

;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;AsyncTask;IntentServices;;
;;461;335;496;276;368;607;;
;;515;445;375;257;327;741;;
;;651;464;335;283;397;525;;
;;491;467;574;272;552;503;;
;;401;433;353;298;350;362;;
;;361;438;318;429;378;386;;
;;363;382;465;422;381;356;;
;;328;403;346;370;390;316;;
;;436;404;605;419;399;374;;
;;497;432;388;372;434;394;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;
;
;
Dog;

;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;AsyncTask;IntentServices;;
;;299;351;261;314;361;342;;
;;255;335;238;256;459;370;;
;;398;287;242;251;379;441;;
;;252;301;242;274;328;299;;
;;292;260;235;317;318;379;;
;;278;371;267;307;338;279;;
;;368;376;272;295;349;247;;
;;324;356;290;325;320;259;;
;;410;345;326;320;347;262;;
;;327;335;373;301;516;286;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;
;
;
Lion;

;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;AsyncTask;IntentServices;;
;;181;168;196;176;232;183;;
;;192;218;222;163;202;355;;
;;266;194;246;178;185;204;;
;;188;208;218;184;207;197;;
;;171;207;258;168;193;211;;
;;197;173;233;170;191;201;;
;;188;183;209;170;292;213;;
;;182;211;214;191;243;166;;
;;184;232;260;187;201;202;;
;;361;238;240;245;199;220;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;
;
;
Platypus;

;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;AsyncTask;IntentServices;;
;;134;137;115;161;161;135;;
;;126;125;155;149;151;124;;
;;153;133;139;143;138;137;;
;;124;129;130;144;145;147;;
;;125;141;125;171;142;134;;
;;125;126;132;172;150;140;;
;;132;126;133;155;157;127;;
;;117;122;139;143;156;131;;
;;130;129;129;132;155;182;;
;;122;133;155;142;168;141;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;
;
;
Pigeon;

;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;AsyncTask;IntentServices;;
;;143;131;150;159;153;136;;
;;137;158;168;175;162;153;;
;;140;155;147;206;248;153;;
;;156;155;159;167;354;147;;
;;131;141;163;164;163;141;;
;;139;149;136;194;205;129;;
;;150;181;145;180;181;139;;
;;124;134;280;161;191;129;;
;;139;159;147;161;184;141;;
;;126;157;138;207;198;130;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;
;
;
