;Matrix multiplication;;;;
128x128;;;;;
;;;;;
;1Tasks;;;;
;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines
;;55;52;60;219
;;53;53;59;223
;;54;54;58;221
;;55;58;61;226
;;56;55;65;224
;;64;64;74;221
;;56;54;59;212
;;53;57;75;215
;;57;53;60;218
;;56;54;60;221
;2Tasks;;;;
;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines
;;30;29;33;122
;;31;28;34;147
;;29;30;36;146
;;29;29;35;142
;;31;30;35;150
;;34;29;37;105
;;27;29;34;127
;;29;28;35;153
;;29;28;34;135
;;35;32;34;150
;8Tasks;;;;
;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines
;;22;26;33;78
;;22;22;26;73
;;21;39;24;73
;;26;24;25;71
;;34;23;29;67
;;30;29;24;69
;;28;27;26;77
;;28;24;25;67
;;23;20;26;72
;;32;22;26;80
;64Tasks;;;;
;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines
;;42;22;29;74
;;40;31;24;78
;;51;44;24;79
;;55;21;27;86
;;43;21;24;77
;;53;23;26;100
;;47;22;27;79
;;45;24;26;85
;;49;21;23;80
;;54;21;40;77
256x256;;;;;
;;;;;
;1Tasks;;;;
;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines
;;682;708;741;2031
;;676;743;765;1966
;;674;728;733;2002
;;686;709;744;1851
;;662;788;710;2038
;;685;744;738;1981
;;685;706;749;1971
;;676;737;736;1870
;;662;718;756;2028
;;662;708;737;2022
;2Tasks;;;;
;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines
;;347;353;367;916
;;335;371;368;983
;;339;358;386;989
;;338;358;363;986
;;344;356;348;912
;;343;359;314;1010
;;350;375;351;996
;;355;371;350;999
;;345;368;368;959
;;344;366;376;1012
;8Tasks;;;;
;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines
;;185;129;123;303
;;108;141;133;253
;;127;137;123;379
;;111;149;116;268
;;103;124;125;270
;;139;153;122;248
;;123;119;117;271
;;142;128;123;275
;;121;112;119;285
;;132;121;126;260
;64Tasks;;;;
;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines
;;215;103;151;278
;;129;106;128;300
;;157;110;136;280
;;139;103;125;276
;;165;106;122;283
;;142;104;132;276
;;147;110;;273
;;144;103;;273
;;201;115;;262
;;169;112;;278
512x512;;;;;
;;;;;
;1Tasks;;;;
;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines
;;7366;7315;7246;16906
;;7353;7150;7225;16759
;;7124;7163;7531;16883
;;7294;7278;7192;16824
;;7252;7336;7268;17024
;;7470;7198;;16925
;;7187;7241;;17031
;;7540;7406;;16884
;;7230;7439;;16993
;;7413;7302;;17014
;2Tasks;;;;
;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines
;;3651;3673;3772;8446
;;3793;3818;3808;8596
;;3624;3770;3571;8615
;;3543;3784;3501;8413
;;3486;3755;3550;8662
;;3539;3747;3551;8512
;;3512;3644;3696;8530
;;3752;3693;;8457
;;3501;3657;;8509
;;3536;3581;;8523
;8Tasks;;;;
;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines
;;1062;1090;1023;2400
;;1079;1047;1047;2424
;;1060;1064;1073;2293
;;1093;1072;1202;2318
;;1030;1133;1038;2350
;;1093;1078;1301;2384
;;1467;1129;1044;2317
;;1376;1032;1039;2261
;;1275;1062;1025;2299
;;1294;1088;1061;2404
;64Tasks;;;;
;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines
;;1088;1014;1066;2365
;;1234;1031;1159;2329
;;1012;1060;1112;2400
;;1043;1057;1023;2388
;;996;1024;1059;2529
;;1099;1044;1048;2455
;;1031;1066;1007;2584
;;1022;994;1075;2321
;;997;1070;1027;2365
;;1015;1043;1021;2358
