;Matrix multiplication;
128x128;

;1 Tasks;
;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;
;;55;52;60;219;;
;;53;53;59;223;;
;;54;54;58;221;;
;;55;58;61;226;;
;;56;55;65;224;;
;;64;64;74;221;;
;;56;54;59;212;;
;;53;57;75;215;;
;;57;53;60;218;;
;;56;54;60;221;;
;;55;53;62;215;;
;;54;56;59;214;;
;;55;51;60;186;;
;;55;67;61;217;;
;;54;53;60;218;;
;;62;67;70;212;;
;;57;54;62;223;;
;;56;56;60;220;;
;;57;52;68;219;;
;;64;52;61;211;;
;;55;52;59;210;;
;;59;54;61;211;;
;;56;53;59;223;;
;;54;58;63;223;;
;;56;56;62;217;;
;;61;65;70;215;;
;;56;53;62;212;;
;;56;53;61;213;;
;;55;54;62;211;;
;;55;54;58;220;;
;
;
;
;2 Tasks;
;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;
;;30;29;33;122;;
;;31;28;34;147;;
;;29;30;36;146;;
;;29;29;35;142;;
;;31;30;35;150;;
;;34;29;37;105;;
;;27;29;34;127;;
;;29;28;35;153;;
;;29;28;34;135;;
;;35;32;34;150;;
;;33;32;34;118;;
;;26;27;33;117;;
;;30;28;33;115;;
;;28;29;36;109;;
;;43;28;33;111;;
;;27;28;34;126;;
;;46;29;33;108;;
;;43;28;46;114;;
;;26;29;34;98;;
;;59;29;34;119;;
;;30;27;38;111;;
;;30;29;34;107;;
;;28;27;89;152;;
;;29;28;32;157;;
;;28;29;69;149;;
;;36;34;54;152;;
;;39;27;65;147;;
;;27;35;63;144;;
;;28;27;66;157;;
;;28;28;71;142;;
;
;
;
;8 Tasks;
;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;
;;22;26;33;78;;
;;22;22;26;73;;
;;21;39;24;73;;
;;26;24;25;71;;
;;34;23;29;67;;
;;30;29;24;69;;
;;28;27;26;77;;
;;28;24;25;67;;
;;23;20;26;72;;
;;32;22;26;80;;
;;77;24;34;67;;
;;81;28;25;72;;
;;39;18;22;72;;
;;24;30;23;80;;
;;28;29;27;76;;
;;23;19;25;73;;
;;30;21;44;70;;
;;25;25;25;84;;
;;29;22;29;68;;
;;28;25;23;68;;
;;26;18;41;98;;
;;24;22;25;60;;
;;29;23;31;61;;
;;32;19;24;86;;
;;33;29;29;87;;
;;54;38;29;56;;
