;Matrix multiplication;
128x128;

;1 Tasks;;;;;;;2 Tasks;;;;;;;8 Tasks;;;;;;;64 Tasks;;;;;;;
;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;;
;;15;12;16;33;;;;5;8;9;63;;;;9;10;10;23;;;;26;14;16;16;;;;;
;;12;9;16;48;;;;6;18;9;34;;;;9;12;15;34;;;;73;15;10;37;;;;;
;;14;12;12;39;;;;12;7;17;40;;;;15;16;16;22;;;;35;10;11;20;;;;;
;;14;8;14;33;;;;5;7;11;43;;;;6;10;12;51;;;;86;12;17;17;;;;;
;;9;11;17;35;;;;5;4;12;41;;;;32;11;11;32;;;;30;12;10;31;;;;;
;;7;7;17;37;;;;22;5;16;25;;;;11;16;15;26;;;;34;8;12;27;;;;;
;;8;12;20;43;;;;4;5;12;61;;;;10;9;10;30;;;;36;14;20;20;;;;;
;;11;10;23;58;;;;8;8;27;41;;;;10;12;12;21;;;;25;18;14;22;;;;;
;;8;10;15;55;;;;7;7;10;55;;;;8;10;11;68;;;;49;7;12;16;;;;;
;;12;9;17;39;;;;8;9;18;48;;;;7;13;8;25;;;;23;10;9;15;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
;
;
256x256;

;1 Tasks;;;;;;;2 Tasks;;;;;;;8 Tasks;;;;;;;64 Tasks;;;;;;;
;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;;
;;153;120;148;327;;;;83;66;99;180;;;;58;54;50;105;;;;73;35;50;84;;;;;
;;135;142;123;332;;;;81;75;92;240;;;;39;43;49;139;;;;65;40;52;101;;;;;
;;123;141;134;325;;;;77;84;75;210;;;;58;69;59;98;;;;114;41;48;85;;;;;
;;143;149;139;319;;;;92;70;89;195;;;;51;47;56;117;;;;67;44;59;93;;;;;
;;131;130;164;316;;;;74;73;80;204;;;;59;56;45;98;;;;73;41;55;76;;;;;
;;140;128;135;334;;;;73;70;82;187;;;;54;55;59;143;;;;69;47;56;130;;;;;
;;139;151;156;353;;;;68;101;81;173;;;;51;51;43;107;;;;56;47;53;105;;;;;
;;133;151;138;315;;;;78;78;94;189;;;;51;49;69;96;;;;109;41;55;81;;;;;
;;143;144;153;330;;;;79;78;83;209;;;;72;48;47;105;;;;71;41;52;97;;;;;
;;136;138;161;358;;;;69;72;84;182;;;;48;59;47;112;;;;81;44;57;156;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
;
;
512x512;

;1 Tasks;;;;;;;2 Tasks;;;;;;;8 Tasks;;;;;;;64 Tasks;;;;;;;
;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;;
;;1475;1387;1424;2969;;;;785;744;808;1521;;;;398;451;413;828;;;;404;390;401;906;;;;;
;;1555;1369;1367;2832;;;;795;790;791;1511;;;;438;430;396;878;;;;387;391;463;845;;;;;
;;1441;1506;1455;2753;;;;764;751;778;1518;;;;482;426;436;774;;;;395;390;430;820;;;;;
;;1539;1517;1480;2885;;;;805;777;744;1515;;;;458;440;421;863;;;;425;455;417;878;;;;;
;;1471;1506;1380;2846;;;;779;823;767;1530;;;;408;423;427;808;;;;409;388;398;898;;;;;
;;1446;1518;1454;2853;;;;768;764;792;1544;;;;414;430;428;767;;;;388;391;427;890;;;;;
;;1425;1412;1474;2710;;;;773;751;758;1520;;;;440;397;417;775;;;;388;371;402;790;;;;;
;;1387;1507;1423;2797;;;;730;800;819;1590;;;;420;403;486;827;;;;404;403;471;790;;;;;
;;1399;1473;1367;2927;;;;776;736;785;1470;;;;458;443;474;835;;;;379;372;387;771;;;;;
;;1491;1447;1442;2865;;;;801;762;801;1535;;;;471;413;415;851;;;;394;399;438;789;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
;
;
