;Matrix multiplication;
128x128;

;1 Tasks;;;;;;;2 Tasks;;;;;;;8 Tasks;;;;;;;64 Tasks;;;;;;;
;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;;
;;12;32;17;46;;;;18;6;10;34;;;;10;10;10;35;;;;21;5;7;18;;;;;
;;10;11;15;49;;;;17;15;10;33;;;;9;16;14;20;;;;14;11;8;24;;;;;
;;11;12;15;43;;;;9;6;9;27;;;;13;14;7;37;;;;19;6;8;19;;;;;
;;10;12;15;43;;;;7;7;8;34;;;;12;7;12;20;;;;32;9;8;17;;;;;
;;11;31;13;50;;;;18;18;10;31;;;;7;17;8;30;;;;16;10;10;30;;;;;
;;11;11;16;43;;;;17;7;11;24;;;;11;8;7;33;;;;17;6;12;16;;;;;
;;11;13;16;44;;;;9;7;9;33;;;;8;7;8;37;;;;21;10;9;24;;;;;
;;11;24;14;54;;;;8;18;12;25;;;;10;8;14;25;;;;21;17;8;19;;;;;
;;10;17;18;44;;;;19;7;8;25;;;;17;9;11;33;;;;23;14;15;19;;;;;
;;14;10;15;48;;;;16;6;14;26;;;;11;7;8;18;;;;12;9;11;25;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
;
;
256x256;

;1 Tasks;;;;;;;2 Tasks;;;;;;;8 Tasks;;;;;;;64 Tasks;;;;;;;
;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;;
;;97;117;100;362;;;;51;55;58;196;;;;41;41;46;117;;;;58;27;43;90;;;;;
;;97;106;98;360;;;;63;51;62;179;;;;47;44;48;125;;;;49;37;46;93;;;;;
;;103;104;108;365;;;;54;56;69;194;;;;48;51;56;120;;;;44;27;45;87;;;;;
;;107;102;116;373;;;;56;57;58;182;;;;50;34;44;113;;;;44;30;40;93;;;;;
;;108;99;105;359;;;;57;51;59;197;;;;45;57;49;115;;;;45;29;47;99;;;;;
;;98;98;134;372;;;;52;75;57;187;;;;55;50;46;114;;;;47;32;48;102;;;;;
;;105;96;112;359;;;;55;51;54;201;;;;42;50;53;121;;;;54;25;47;100;;;;;
;;102;106;112;356;;;;58;69;61;185;;;;40;38;52;123;;;;47;33;41;94;;;;;
;;107;103;103;348;;;;70;53;71;179;;;;49;48;46;122;;;;38;24;51;96;;;;;
;;106;116;106;356;;;;54;53;83;188;;;;50;45;44;116;;;;48;34;40;88;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
