;Producers-Consumers problem;
;5 producers and 5 consumers;
;;Buffer = 2;;;;;;;;;;;;;;Buffer = 8;;;;;;;;;;;;
;;Produced items;;;;;;;Consumed items;;;;;;;Produced items;;;;;;;Consumed items
;;Semaphore;Lock and Condition;Atomic variables;Synchronized;;;;Semaphore;Lock and Condition;Atomic variables;Synchronized;;;;Semaphore;Lock and Condition;Atomic variables;Synchronized;;;;Semaphore;Lock and Condition;Atomic variables;Synchronized;;;;;
;;;162;153;;;;;;162;153;;;;;207;190;178;;;;;201;182;178;;;;;;
;;;174;158;;;;;;174;159;;;;;199;197;202;;;;;196;190;198;;;;;;
;;;177;158;;;;;;175;158;;;;;200;189;155;;;;;194;188;153;;;;;;
;;;172;164;;;;;;172;163;;;;;200;194;183;;;;;192;188;180;;;;;;
;;;190;143;;;;;;188;143;;;;;195;191;172;;;;;191;183;170;;;;;;
;;;191;150;;;;;;191;150;;;;;199;189;170;;;;;193;184;170;;;;;;
;;;196;157;;;;;;194;158;;;;;202;187;177;;;;;195;180;177;;;;;;
;;;191;151;;;;;;189;151;;;;;202;199;171;;;;;197;196;171;;;;;;
;;;197;157;;;;;;195;156;;;;;198;189;187;;;;;195;186;187;;;;;;
;;;194;166;;;;;;192;165;;;;;198;192;182;;;;;190;187;182;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
;
;
;5 producers and 10 consumers;
;;Buffer = 2;;;;;;;;;;;;;;Buffer = 8;;;;;;;;;;;;
;;Produced items;;;;;;;Consumed items;;;;;;;Produced items;;;;;;;Consumed items
;;Semaphore;Lock and Condition;Atomic variables;Synchronized;;;;Semaphore;Lock and Condition;Atomic variables;Synchronized;;;;Semaphore;Lock and Condition;Atomic variables;Synchronized;;;;Semaphore;Lock and Condition;Atomic variables;Synchronized;;;;;
;;;192;78;;;;;;190;78;;;;;200;203;71;;;;;200;198;71;;;;;;
;;;196;60;;;;;;194;60;;;;;218;196;70;;;;;213;195;70;;;;;;
;;;194;76;;;;;;192;76;;;;;202;191;69;;;;;198;191;69;;;;;;
;;;197;77;;;;;;197;77;;;;;204;193;63;;;;;202;190;63;;;;;;
;;;189;66;;;;;;189;66;;;;;214;199;82;;;;;209;199;82;;;;;;
;;;196;74;;;;;;194;74;;;;;189;201;75;;;;;188;196;75;;;;;;
;;;182;70;;;;;;182;70;;;;;204;200;74;;;;;199;195;74;;;;;;
;;;193;68;;;;;;192;68;;;;;203;196;69;;;;;200;192;69;;;;;;
;;;196;70;;;;;;194;70;;;;;195;190;71;;;;;195;186;71;;;;;;
;;;184;70;;;;;;184;70;;;;;201;199;77;;;;;200;195;77;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
;
;
;5 producers and 20 consumers;
;;Buffer = 2;;;;;;;;;;;;;;Buffer = 8;;;;;;;;;;;;
;;Produced items;;;;;;;Consumed items;;;;;;;Produced items;;;;;;;Consumed items
;;Semaphore;Lock and Condition;Atomic variables;Synchronized;;;;Semaphore;Lock and Condition;Atomic variables;Synchronized;;;;Semaphore;Lock and Condition;Atomic variables;Synchronized;;;;Semaphore;Lock and Condition;Atomic variables;Synchronized;;;;;
;;;189;45;;;;;;188;45;;;;;200;188;45;145;;;;199;188;45;145;;;;;
;;;195;48;;;;;;195;48;;;;;206;188;46;;;;;203;187;46;;;;;;
;;;195;49;;;;;;193;49;;;;;198;197;46;;;;;198;193;46;;;;;;
;;;187;47;;;;;;185;47;;;;;199;190;44;;;;;198;190;44;;;;;;
;;;192;44;;;;;;192;44;;;;;197;196;43;;;;;195;196;43;;;;;;
;;;189;44;;;;;;189;44;;;;;205;169;50;;;;;205;169;50;;;;;;
;;;183;44;;;;;;183;44;;;;;202;184;39;;;;;199;184;39;;;;;;
;;;186;42;;;;;;186;42;;;;;197;195;40;;;;;196;195;40;;;;;;
;;;187;47;;;;;;187;47;;;;;196;197;44;;;;;191;197;44;;;;;;
;;;154;35;;;;;;154;35;;;;;198;195;46;;;;;197;195;46;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
;
;
;10 producers and 5 consumers;
;;Buffer = 2;;;;;;;;;;;;;;Buffer = 8;;;;;;;;;;;;
;;Produced items;;;;;;;Consumed items;;;;;;;Produced items;;;;;;;Consumed items
;;Semaphore;Lock and Condition;Atomic variables;Synchronized;;;;Semaphore;Lock and Condition;Atomic variables;Synchronized;;;;Semaphore;Lock and Condition;Atomic variables;Synchronized;;;;Semaphore;Lock and Condition;Atomic variables;Synchronized;;;;;
;;;187;81;;;;;;187;79;;;;;193;196;100;141;;;;185;188;92;133;;;;;
;;;184;102;;;;;;182;100;;;;;205;191;94;134;;;;197;184;86;126;;;;;
;;;188;87;;;;;;188;85;;;;;198;211;97;139;;;;190;203;89;131;;;;;
;;;182;79;;;;;;180;77;;;;;203;205;92;159;;;;200;199;84;151;;;;;
;;;180;97;;;;;;178;95;;;;;194;206;95;129;;;;186;198;87;121;;;;;
;;;190;80;;;;;;188;78;;;;;200;205;91;142;;;;192;200;83;134;;;;;
;;;182;89;;;;;;181;87;;;;;202;196;97;145;;;;195;188;89;137;;;;;
;;;178;95;;;;;;177;93;;;;;203;201;91;139;;;;195;193;83;131;;;;;
;;;196;91;;;;;;194;89;;;;;192;196;97;140;;;;184;190;89;131;;;;;
;;;189;94;;;;;;189;92;;;;;194;204;95;134;;;;186;196;87;126;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
;
;
;10 producers and 10 consumers;
;;Buffer = 2;;;;;;;;;;;;;;Buffer = 8;;;;;;;;;;;;
;;Produced items;;;;;;;Consumed items;;;;;;;Produced items;;;;;;;Consumed items
;;Semaphore;Lock and Condition;Atomic variables;Synchronized;;;;Semaphore;Lock and Condition;Atomic variables;Synchronized;;;;Semaphore;Lock and Condition;Atomic variables;Synchronized;;;;Semaphore;Lock and Condition;Atomic variables;Synchronized;;;;;
;;;209;179;;;;;;209;177;;;;;219;220;153;188;;;;211;220;153;186;;;;;
;;;197;174;;;;;;197;174;;;;;211;213;147;194;;;;210;213;147;194;;;;;
;;;194;139;;;;;;194;139;;;;;221;207;152;196;;;;217;207;152;192;;;;;
;;;201;139;;;;;;201;139;;;;;205;210;160;182;;;;204;210;159;182;;;;;
;;;210;159;;;;;;208;159;;;;;209;230;179;180;;;;202;222;177;180;;;;;
;;;192;175;;;;;;192;173;;;;;205;233;165;188;;;;201;228;163;184;;;;;
;;;207;159;;;;;;205;158;;;;;219;221;154;185;;;;218;219;155;184;;;;;
;;;202;164;;;;;;200;164;;;;;210;213;168;199;;;;210;213;169;196;;;;;
;;;203;168;;;;;;201;167;;;;;205;214;153;186;;;;205;214;151;185;;;;;
;;;191;181;;;;;;191;181;;;;;210;224;154;190;;;;210;224;153;188;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
;
;
;10 producers and 20 consumers;
;;Buffer = 2;;;;;;;;;;;;;;Buffer = 8;;;;;;;;;;;;
;;Produced items;;;;;;;Consumed items;;;;;;;Produced items;;;;;;;Consumed items
;;Semaphore;Lock and Condition;Atomic variables;Synchronized;;;;Semaphore;Lock and Condition;Atomic variables;Synchronized;;;;Semaphore;Lock and Condition;Atomic variables;Synchronized;;;;Semaphore;Lock and Condition;Atomic variables;Synchronized;;;;;
;;;194;60;;;;;;194;60;;;;;219;203;56;147;;;;217;203;56;147;;;;;
;;;195;66;;;;;;195;66;;;;;199;201;58;150;;;;193;201;58;150;;;;;
;;;197;65;;;;;;197;65;;;;;208;199;64;147;;;;207;199;64;147;;;;;
;;;200;58;;;;;;200;58;;;;;208;214;60;152;;;;208;214;60;152;;;;;
;;;188;64;;;;;;188;64;;;;;213;210;63;157;;;;213;202;63;157;;;;;
;;;199;58;;;;;;199;58;;;;;228;207;62;148;;;;220;199;62;148;;;;;
;;;198;64;;;;;;198;64;;;;;210;196;59;149;;;;210;196;59;149;;;;;
;;;191;63;;;;;;191;63;;;;;216;194;67;146;;;;209;194;67;146;;;;;
;;;200;61;;;;;;200;61;;;;;214;189;65;158;;;;208;189;65;158;;;;;
;;;183;64;;;;;;183;64;;;;;207;194;61;157;;;;207;194;61;157;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
;
;
;20 producers and 5 consumers;
;;Buffer = 2;;;;;;;;;;;;;;Buffer = 8;;;;;;;;;;;;
;;Produced items;;;;;;;Consumed items;;;;;;;Produced items;;;;;;;Consumed items
;;Semaphore;Lock and Condition;Atomic variables;Synchronized;;;;Semaphore;Lock and Condition;Atomic variables;Synchronized;;;;Semaphore;Lock and Condition;Atomic variables;Synchronized;;;;Semaphore;Lock and Condition;Atomic variables;Synchronized;;;;;
;;;183;42;;;;;;183;40;;;;;191;196;49;81;;;;184;192;41;73;;;;;
;;;187;51;;;;;;186;49;;;;;185;193;51;78;;;;181;185;43;70;;;;;
;;;190;54;;;;;;190;52;;;;;;201;54;73;;;;;196;46;65;;;;;
;;;183;45;;;;;;183;43;;;;;;192;60;87;;;;;185;52;79;;;;;
;;;177;63;;;;;;176;61;;;;;;197;55;83;;;;;193;47;75;;;;;
;;;187;54;;;;;;187;52;;;;;;191;55;91;;;;;190;47;83;;;;;
;;;182;51;;;;;;182;49;;;;;;192;50;81;;;;;189;42;73;;;;;
;;;168;39;;;;;;168;37;;;;;;202;46;;;;;;197;38;;;;;;
;;;176;45;;;;;;176;43;;;;;;200;68;;;;;;194;60;;;;;;
;;;187;54;;;;;;187;52;;;;;;199;61;;;;;;195;53;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
;
;
;20 producers and 10 consumers;
;;Buffer = 2;;;;;;;;;;;;;;Buffer = 8;;;;;;;;;;;;
;;Produced items;;;;;;;Consumed items;;;;;;;Produced items;;;;;;;Consumed items
;;Semaphore;Lock and Condition;Atomic variables;Synchronized;;;;Semaphore;Lock and Condition;Atomic variables;Synchronized;;;;Semaphore;Lock and Condition;Atomic variables;Synchronized;;;;Semaphore;Lock and Condition;Atomic variables;Synchronized;;;;;
;;;204;57;;;;;;202;55;;;;;;218;63;;;;;;218;55;;;;;;
;;;185;54;;;;;;185;52;;;;;;221;93;;;;;;221;85;;;;;;
;;;184;68;;;;;;184;66;;;;;;218;73;;;;;;218;65;;;;;;
;;;209;63;;;;;;207;61;;;;;;211;67;;;;;;206;59;;;;;;
;;;193;64;;;;;;193;62;;;;;;212;80;;;;;;206;72;;;;;;
;;;186;62;;;;;;186;60;;;;;;198;62;;;;;;198;54;;;;;;
;;;173;65;;;;;;173;63;;;;;;199;92;;;;;;199;84;;;;;;
;;;206;70;;;;;;204;68;;;;;;212;63;;;;;;207;55;;;;;;
;;;187;62;;;;;;186;60;;;;;;211;71;;;;;;203;63;;;;;;
;;;179;60;;;;;;179;58;;;;;;202;70;;;;;;202;67;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
;
;
;20 producers and 20 consumers;
;;Buffer = 2;;;;;;;;;;;;;;Buffer = 8;;;;;;;;;;;;
;;Produced items;;;;;;;Consumed items;;;;;;;Produced items;;;;;;;Consumed items
;;Semaphore;Lock and Condition;Atomic variables;Synchronized;;;;Semaphore;Lock and Condition;Atomic variables;Synchronized;;;;Semaphore;Lock and Condition;Atomic variables;Synchronized;;;;Semaphore;Lock and Condition;Atomic variables;Synchronized;;;;;
;;196;175;86;;;;;196;175;84;;;;;;211;128;;;;;;211;120;;;;;;
;;180;169;81;;;;;180;169;79;;;;;;178;89;;;;;;178;81;;;;;;
