;Producers-Consumers problem;
;5 producers and 5 consumers;
;;Buffer = 2;;;;;;;;;;;;;;Buffer = 8;;;;;;;;;;;;
;;Produced items;;;;;;;Consumed items;;;;;;;Produced items;;;;;;;Consumed items
;;Semaphore;Lock and Condition;Atomic variables;Synchronized;;;;Semaphore;Lock and Condition;Atomic variables;Synchronized;;;;Semaphore;Lock and Condition;Atomic variables;Synchronized;;;;Semaphore;Lock and Condition;Atomic variables;Synchronized;;;;;
;;370;391;376;379;;;;369;389;375;379;;;;398;426;321;349;;;;390;424;322;349;;;;;
;;363;404;381;358;;;;361;402;381;358;;;;391;415;311;330;;;;386;411;312;329;;;;;
;;365;404;383;363;;;;363;404;383;363;;;;377;403;330;338;;;;373;401;330;338;;;;;
;;353;410;363;365;;;;351;409;363;364;;;;371;408;341;346;;;;368;403;341;346;;;;;
;;367;413;365;353;;;;366;411;364;353;;;;383;421;347;371;;;;375;413;346;371;;;;;
;;370;403;367;336;;;;369;401;367;336;;;;373;394;366;377;;;;370;393;367;377;;;;;
;;375;412;374;357;;;;373;410;374;357;;;;361;417;332;385;;;;356;413;331;385;;;;;
;;376;407;378;350;;;;375;405;378;350;;;;374;411;361;372;;;;368;406;361;372;;;;;
;;393;402;361;346;;;;391;400;360;346;;;;371;405;371;391;;;;366;405;372;390;;;;;
;;394;414;361;341;;;;393;412;360;341;;;;360;410;355;399;;;;360;405;355;399;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
;
;
;5 producers and 10 consumers;
;;Buffer = 2;;;;;;;;;;;;;;Buffer = 8;;;;;;;;;;;;
