;Philosophers problem;
5 Philosophers;
Running by 2s;
Using Semaphore;;;;;;;;;;;;;Using Synchronized;;;;;;;;;;;;;Using Lock and Condition;;;;;;;;;;;;;;
; Average executions;;;;;;Standard deviation;;;;;;;Average executions;;;;;;Standard deviation;;;;;;;Average executions;;;;;;Standard deviation
;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;;
;;366.6;396.6;399.8;554.8;;;7.7;4.9;4.7;7.1;;;;600.0;596.8;592.4;3893.0;;;4.0;3.2;2.9;1754.6;;;;401.6;397.4;395.6;555.6;;;4.8;1.0;3.4;3.9;;;;;
;;397.8;397.0;393.8;561.8;;;4.7;2.6;2.7;3.9;;;;589.4;594.2;588.8;3881.2;;;5.0;8.3;6.0;1720.3;;;;401.4;397.4;390.0;560.2;;;5.7;1.4;2.2;4.8;;;;;
;;399.8;396.8;397.2;551.8;;;2.4;5.9;4.5;2.9;;;;597.2;601.2;592.4;4202.4;;;7.7;4.8;5.6;1916.3;;;;394.6;402.8;391.2;555.0;;;2.0;2.1;3.3;3.7;;;;;
;;399.6;392.8;396.4;561.6;;;2.8;3.4;1.9;3.1;;;;586.8;590.6;589.0;4107.6;;;7.1;3.5;3.4;1838.2;;;;395.6;404.8;399.0;554.2;;;2.2;1.3;1.9;2.7;;;;;
;;396.8;393.2;395.4;561.4;;;1.2;7.0;4.7;3.5;;;;598.2;594.8;588.2;4138.6;;;3.9;2.6;1.9;1869.5;;;;395.8;395.4;393.2;561.6;;;3.6;5.8;3.2;2.9;;;;;
;;402.4;388.8;397.4;557.2;;;2.2;4.5;2.2;4.8;;;;595.6;601.8;594.0;4038.6;;;3.4;5.9;7.0;1847.9;;;;396.0;394.0;396.6;552.0;;;3.6;4.2;2.7;8.7;;;;;
;;405.0;397.8;402.6;562.8;;;3.3;4.1;2.3;3.2;;;;604.8;597.2;597.2;4090.4;;;6.4;5.0;4.2;1861.5;;;;400.4;396.0;396.4;558.6;;;6.8;2.9;1.7;2.4;;;;;
;;396.0;395.4;394.4;551.4;;;2.4;8.5;2.6;8.2;;;;596.0;601.0;595.8;4293.8;;;6.7;5.4;4.7;2035.9;;;;403.0;398.4;394.4;553.6;;;4.8;1.4;2.2;3.6;;;;;
;;401.0;395.4;393.8;548.6;;;4.5;2.7;2.4;4.8;;;;598.6;600.6;482.4;4003.4;;;7.2;2.6;10.8;1811.9;;;;396.2;395.2;399.6;558.4;;;6.9;4.3;2.9;3.4;;;;;
;;403.0;396.0;396.2;557.0;;;2.3;3.3;3.3;6.3;;;;605.0;597.4;579.2;4047.4;;;4.7;7.3;4.9;1842.4;;;;397.8;395.6;393.8;556.4;;;4.6;2.7;2.2;2.6;;;;;
