;Philosophers problem;
5 Philosophers;
Running by 2s;
Using Semaphore;;;;;;;;;;;;;Using Synchronized;;;;;;;;;;;;;Using Lock and Condition;;;;;;;;;;;;;;
; Average executions;;;;;;Standard deviation;;;;;;;Average executions;;;;;;Standard deviation;;;;;;;Average executions;;;;;;Standard deviation
;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;;
;;978.8;967.2;868.6;1404.0;;;64.0;51.9;46.8;31.8;;;;1470.8;1382.8;1403.2;8294.0;;;31.7;73.2;40.8;3575.8;;;;971.0;921.6;936.4;1217.8;;;66.4;61.0;44.3;85.8;;;;;
;;965.4;951.6;897.8;1419.4;;;44.3;46.9;44.5;45.5;;;;1483.6;1377.0;1370.8;8771.4;;;49.0;77.8;88.3;3763.4;;;;972.2;920.4;937.6;1164.4;;;48.4;41.3;13.7;51.3;;;;;
;;975.2;936.6;921.0;1381.0;;;67.0;43.9;52.5;131.3;;;;1457.8;1391.2;1387.6;8951.8;;;75.0;93.6;68.2;3893.5;;;;950.2;925.4;940.2;1163.4;;;58.9;78.3;57.0;56.8;;;;;
;;996.8;955.8;943.6;1375.2;;;56.5;79.8;28.0;63.9;;;;1437.4;1420.2;1377.6;8620.2;;;31.8;80.7;43.2;3672.5;;;;958.0;926.4;931.0;1203.8;;;49.6;32.2;34.1;27.2;;;;;
;;971.8;957.4;924.6;1339.2;;;42.2;69.1;93.4;60.2;;;;1435.0;1400.0;1303.2;8680.0;;;59.4;62.0;45.6;3741.6;;;;982.0;927.4;910.0;1281.2;;;56.8;47.9;53.2;96.5;;;;;
;;971.8;931.6;919.0;1258.6;;;43.1;19.9;77.1;46.8;;;;1481.0;1384.6;1223.2;8622.6;;;34.3;21.0;55.9;3721.5;;;;944.8;922.4;904.8;1346.4;;;33.4;22.6;34.9;32.7;;;;;
;;973.2;947.8;920.0;1207.4;;;75.4;36.9;85.7;42.0;;;;1447.2;1375.0;1221.2;8794.0;;;69.3;101.2;32.8;3811.3;;;;957.8;956.6;924.4;1396.8;;;58.6;73.3;19.7;40.5;;;;;
;;972.0;943.8;917.6;1174.2;;;60.5;73.1;47.4;90.6;;;;1419.0;1388.4;1255.8;8286.0;;;36.9;55.4;44.7;3500.8;;;;978.8;945.0;910.6;1390.4;;;92.0;29.5;50.7;91.7;;;;;
;;987.8;940.2;903.6;1187.2;;;50.6;92.4;60.4;52.5;;;;1453.0;1396.2;1357.6;8414.2;;;56.5;51.7;34.2;3531.0;;;;944.0;923.6;902.6;1373.8;;;19.0;57.8;41.8;44.4;;;;;
;;955.2;958.4;906.4;1232.0;;;37.2;39.2;63.7;58.5;;;;1494.0;1379.6;1368.4;8595.2;;;85.1;75.6;58.4;3647.5;;;;961.2;935.8;928.2;1390.6;;;40.8;30.1;40.8;82.4;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;


; Min;;;;;;Max;;;;;;;Min;;;;;;Max;;;;;;;Min;;;;;;Max
;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;;
;;907;886;777;1361;;;1090;1022;904;1439;;;;1430;1296;1338;1299;;;1509;1469;1459;11061;;;;864;842;868;1063;;;1046;1008;987;1315;;;;;
;;928;873;852;1379;;;1049;1002;970;1506;;;;1427;1253;1203;1365;;;1560;1490;1435;11833;;;;884;873;914;1069;;;1028;985;951;1219;;;;;
;;860;862;836;1178;;;1038;982;988;1561;;;;1377;1212;1295;1357;;;1588;1484;1495;12229;;;;883;770;843;1091;;;1051;980;1005;1238;;;;;
;;911;862;901;1249;;;1062;1052;978;1421;;;;1398;1356;1298;1420;;;1493;1579;1418;11479;;;;888;878;885;1154;;;1024;978;968;1229;;;;;
;;908;845;763;1266;;;1020;1056;1038;1421;;;;1349;1306;1243;1339;;;1507;1488;1363;11867;;;;893;878;836;1100;;;1056;1016;998;1376;;;;;
;;895;906;801;1203;;;1017;953;1006;1324;;;;1441;1351;1154;1380;;;1542;1412;1314;12016;;;;881;897;844;1306;;;979;956;953;1406;;;;;
;;827;912;794;1159;;;1044;1017;1048;1260;;;;1342;1238;1182;1387;;;1558;1507;1278;12198;;;;864;852;894;1347;;;1037;1061;949;1465;;;;;
;;857;827;839;1022;;;1026;1042;976;1259;;;;1360;1297;1208;1414;;;1475;1441;1321;11159;;;;851;909;822;1244;;;1088;988;958;1476;;;;;
;;919;830;851;1099;;;1043;1058;1018;1250;;;;1389;1335;1323;1390;;;1549;1473;1402;10685;;;;914;836;832;1291;;;961;985;949;1417;;;;;
;;906;895;826;1172;;;1002;1011;1007;1322;;;;1405;1289;1288;1334;;;1616;1478;1466;11019;;;;886;883;885;1271;;;1002;971;1006;1506;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
;
;
11 Philosophers;
Running by 2s;
Using Semaphore;;;;;;;;;;;;;Using Synchronized;;;;;;;;;;;;;Using Lock and Condition;;;;;;;;;;;;;;
; Average executions;;;;;;Standard deviation;;;;;;;Average executions;;;;;;Standard deviation;;;;;;;Average executions;;;;;;Standard deviation
;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;;
;;509.1;509.5;476.5;723.5;;;30.0;20.2;23.1;31.7;;;;777.5;744.7;747.9;6139.6;;;28.8;30.7;26.1;1750.3;;;;503.0;493.7;434.2;720.1;;;23.4;9.9;28.1;27.4;;;;;
;;510.6;498.6;467.0;691.8;;;15.8;28.9;26.5;34.3;;;;777.7;745.4;739.2;6207.2;;;28.1;29.4;31.8;1732.7;;;;518.5;492.5;443.5;704.2;;;28.2;23.8;21.1;32.6;;;;;
;;514.6;501.0;451.2;668.6;;;33.5;19.6;17.5;21.6;;;;760.5;757.7;738.2;6142.6;;;22.7;44.8;25.0;1732.4;;;;516.4;497.6;460.2;694.5;;;36.7;25.8;19.5;19.9;;;;;
;;514.9;489.5;434.4;639.7;;;15.6;23.0;15.3;25.9;;;;767.9;741.9;742.9;5642.9;;;33.7;18.3;24.0;1607.5;;;;503.7;497.6;475.5;706.1;;;28.7;25.1;21.6;29.4;;;;;
;;517.6;496.2;423.9;631.8;;;19.4;25.8;14.1;13.4;;;;769.3;734.5;751.7;5425.8;;;27.5;27.4;36.1;1541.8;;;;507.0;486.5;477.6;689.7;;;20.0;26.4;16.9;14.4;;;;;
;;507.8;495.1;442.7;627.8;;;27.8;22.7;18.0;29.2;;;;767.8;752.9;740.2;5296.9;;;36.2;40.3;36.1;1509.1;;;;508.5;495.3;511.8;668.7;;;27.8;31.0;30.4;28.9;;;;;
;;514.6;497.9;462.4;632.8;;;21.3;24.5;23.8;26.8;;;;769.2;743.8;702.5;5167.2;;;25.2;26.3;19.9;1461.1;;;;505.1;500.6;502.6;640.9;;;26.3;26.6;26.6;26.9;;;;;
;;514.5;491.5;467.3;654.9;;;17.3;22.6;16.6;15.1;;;;772.0;742.9;678.1;5225.0;;;30.1;41.5;33.1;1426.4;;;;510.9;485.1;500.5;612.0;;;33.6;18.9;24.2;25.3;;;;;
;;508.5;491.3;481.7;679.6;;;28.1;32.1;28.8;26.2;;;;770.9;746.5;649.7;5396.3;;;20.1;36.5;31.0;1513.5;;;;509.9;494.2;503.6;608.4;;;25.9;27.6;30.5;11.9;;;;;
;;509.7;496.2;506.1;708.7;;;24.7;29.5;23.2;23.2;;;;759.0;742.5;659.5;5623.0;;;27.9;31.0;20.2;1576.0;;;;498.0;492.5;489.8;603.3;;;31.0;20.9;21.8;17.7;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
